id,redirected_id,author
1,1,deniskin
2,2,geraxe
3,287270,deniskin
6,6,deniskin
7,7,ptitov
9,9,geraxe
10,10,krivetsky
12,12,deniskin
13,13,deniskin
15,287994,androidista
18,18,Semenov
19,19,minaton
21,21,Semenov
22,22,Stassia
23,287278,minaton
24,24,minaton
25,25,kukutz
26,26,Semenov
30,30,ideali
33,33,kukutz
35,35,ideali
39,39,anton_z
45,45,TechnologyMasta
46,46,TechnologyMasta
48,48,kappa
52,52,fisher
53,53,kappa
54,54,Lev_in
55,55,minaton
56,56,rossomachin
58,58,Lev_in
63,63,NaFigator
64,64,rossomachin
65,65,rossomachin
66,66,Juliani
71,71,kukutz
74,74,Juliani
75,75,long
76,76,long
77,77,adnull
80,80,rossomachin
82,82,rosnovsky
83,287284,deniskin
84,84,ilovepeople
85,85,sergey_koshkin
86,86,minaton
87,87,smith
91,91,zzang
93,93,bobuk
94,94,deniskin
95,95,nundesign
96,96,kappa
97,97,Uznick
98,98,kappa
99,288694,geraxe
100,100,deniskin
101,287990,deniskin
103,287992,deniskin
115,115,deniskin
117,117,geraxe
125,125,deniskin
126,287272,androidista
133,287274,b2blogger
135,287996,jazzuit
138,287276,Stassia
143,287998,ufoby
160,287280,b2blogger
161,161,deniskin
163,163,kappa
165,165,deniskin
170,287282,paufnuty
171,171,zzang
188,188,deniskin
190,190,Smasher
194,194,hotdog
197,287286,glazzza
198,198,deniskin
199,287288,ilnovikov
201,287290,Merdanchik
203,203,deniskin
205,205,androidista
206,206,Uznick
207,207,Uznick
216,216,deniskin
217,217,XEK
219,219,DPihto
220,220,wklim
221,221,mmost
222,222,smith
223,223,deniskin
224,287292,androidista
226,226,Uznick
227,227,schors
228,228,deniskin
229,229,Pavel
230,230,Uznick
232,232,nundesign
237,237,schors
240,240,kukutz
242,242,adnull
244,244,adnull
245,245,schors
246,246,Barbos
247,247,anton_z
248,287294,deniskin
249,249,deniskin
265,265,don_sacho
266,266,adnull
267,267,mrslndr
268,268,compwoman
269,269,deniskin
271,271,mozaic
272,272,wklim
274,274,dimazest
275,275,deniskin
277,277,deniskin
278,287296,apakova
280,280,Shtoong
281,281,Shtoong
282,282,motto
283,283,Uznick
284,284,deniskin
288,288,saterenko
289,289,msado
295,295,mozaic
296,296,Webstudent
297,297,minaton
298,298,Fankertiban
299,299,bobuk
300,287298,paufnuty
301,287300,deniskin
302,302,ayc
303,303,ilovepeople
304,304,motto
305,305,aim
306,306,nundesign
307,307,bobuk
309,309,Mio
313,313,aim
314,314,aim
317,317,Rogozhin
318,318,linl
321,321,nundesign
323,323,mozaic
324,324,Shtoong
328,287302,aldram
329,329,mozaic
331,287304,minaton
333,287306,smik
339,339,rulix
340,340,dze
341,341,motto
345,345,dze
346,346,dze
349,349,Uznick
351,351,Mio
352,352,Mio
353,353,mozaic
356,356,kappa
357,357,dze
361,287308,Mio
369,369,roman_gorshkov
372,372,paradonado
373,373,motto
374,374,deniskin
378,378,mozaic
379,379,mozaic
380,380,mozaic
387,387,deniskin
389,287310,aim
393,393,sply
395,395,Pavel
397,397,mmost
398,398,deniskin
403,403,Mio
406,406,DPihto
407,407,minaton
414,414,Nicolay
419,419,kappa
420,420,vitya
423,423,pihta
425,425,Nicolay
