id, title, author, score, views, favors, isTutorial
post_216315,Банкомат. Некоторые особенности,UserSide,+536,129696,488,0
post_217645,Как Минковский во Flappy Bird играл,s3r4f1m,+350,74467,354,0
post_217545,Как правильно лгать с помощью статистики,varagian,+306,81996,736,0
post_217775,Факты о космосе comma  в которые трудно поверить,Zelenyikot,+297,124298,219,0
post_216637,Карточные игры,UserSide,+278,98328,428,0
post_216439,Самодельные цифровые солнечные часы,SMihalkov,+275,81283,284,0
post_216991,Регистрация сайтов: теперь за 1000 рублей,mgremlin,+269,94303,68,0
post_216695,О патриотизме и реализме,Zelenyikot,+244,82023,158,0
post_210042,«Всем привет в этом чате» — мой любимый ответ на массовую рассылку,Milfgard,+221,91404,151,0
post_217717,Я позвонил comma  чтобы потратить ваше время,mclander,+207,77663,82,0
post_215959,Незаметные сложности ракетной техники: Часть 4. Ещё про двигатели и баки,lozga,+197,53228,230,0
post_216463,Хабр comma  привет!,rubin16,+193,36122,44,0
post_215223,В Стэнфордском университете разработали бумажный микроскоп стоимостью меньше доллара,ilya42,+188,97924,240,0
post_216153,«Запретите им запрещать» или обратная сторона реестра запрещенных сайтов,alexkbs,+187,100485,201,0
post_216609,История создания торрент-рендера для 3ds max,1acc,+185,35244,229,0
post_215993,Впечатления от китайской warez-сцены,MennyCalavera,+182,57319,134,0
post_216651,JPHP — Новый движок php для Java VM + JIT,dim_s,+180,22735,179,0
post_214153,Как делают печатные платы: экскурсия на завод Технотех,vvzvlad,+179,58901,233,0
post_215545,Как «1С» любит своих клиентов,Terras,+171,71020,80,0
post_216833,Откуда «мыло» в WPF и как с ним бороться,OlegKozlov,+166,30807,457,1
post_217395,Как «не программист» игру писал,meschersky,+159,58057,294,0
post_215637,Что будет comma  если вы задумаете собрать 3D принтер своими руками,obdiy,+159,70328,469,0
post_217411,О плохих словах comma  или Как написать текст comma  не сделав из него какашку,neko_nya,+156,32620,353,1
post_215913,Flappy Bot для Flappy Bird,PapaBubaDiop,+155,56040,61,0
post_216159,Сотовая сеть в Якутии: что бывает с базовыми станциями при -60 по Цельсию,KSolokhin,+154,72056,68,0
post_215291,2048,alizar,+151,183219,343,0
post_215773,Обещают жаркое лето… Изменения в «антипиратский» закон вступают в силу 1 июля 2014,FilegiverCom,+146,109196,93,0
post_217081,Microsoft открывает исходный код первых версий MS-DOS и Word,HotWaterMusic,+145,71489,202,0
post_217541,Стимпанк-кофейня в Южной Африке,Milfgard,+144,49510,163,0
post_216045,HTML по стандартам,bakhirev,+144,46092,1265,0
post_215429,Popcorn Time: самая удобная программа для просмотра торрентов,alizar,+136,109870,459,0
post_216827,CPU Load: когда начинать волноваться?,JCDenton,+134,35578,362,0
post_216491,Работа мозга в режиме реального времени: видео,marks,+133,52953,176,0
post_217079,Эдвард Сноуден на TED: Как нам вернуть Интернет (озвучка),paulpotseluev,+132,72139,186,0
post_215385,Прокуратура г. Сургута готовит материалы для осуждения человека на 4 года за покупку умных часов,shifttstas,+132,120569,50,0
post_216913,Анапские прокуроры зачищают Интернет по-своему. Блокировка Google и других,sardarbinyan,+130,50058,50,0
post_216059,iToilet. Офисный туалет свободен,Krivoblotsky,+127,92855,170,0
post_215975,Великий Российский Фаервол comma  что будет когда занавес опустится?,shifttstas,+126,113744,244,0
