id, title, author, score, views, favors, isTutorial
post_217645,Как Минковский во Flappy Bird играл,s3r4f1m,+350,74467,354,0
post_217545,Как правильно лгать с помощью статистики,varagian,+306,81996,736,0
post_217775,Факты о космосе comma  в которые трудно поверить,Zelenyikot,+297,124298,219,0
post_217717,Я позвонил comma  чтобы потратить ваше время,mclander,+207,77663,82,0
post_217541,Стимпанк-кофейня в Южной Африке,Milfgard,+144,49514,163,0
post_217581,Колесо-буксир сэкономит пассажирским авиакомпаниям миллионы долларов,ilya42,+113,58786,38,0
post_217985,Автоматическая кормушка для птиц,ivan-vovanych,+111,35679,118,0
post_215905,Signed Distance Field или как сделать из растра вектор,RPG,+111,24195,330,0
post_217679,Почему компании отказываются от лучших сотрудников?,Chebanov,+110,62569,205,0
post_217585,Сети для самых маленьких. Часть девятая. Мультикаст,eucariot,+104,28473,884,1
post_217921,Занимательная археология. Или PVS-Studio проверяет Microsoft Word 1.1a,Andrey2008,+98,38059,25,0
post_218051,Google Chrome — убираем рутину с помощью кастомного поиска,lalaki,+96,31323,760,0
post_217893,Микрокомпьютер Module MB 77.07 — русский ответ Raspberry Pi,Promwad,+93,55104,185,0
post_218039,Canonical закрывает сервис Ubuntu One,FRAGIL3,+92,34554,16,0
post_217699,Яндекс.Почта позволит отписываться от рассылок,bgarkushin,+92,14777,25,0
post_217671,Загадочное объявление от IBM,untech,+85,97265,143,0
post_217981,Яндекс и Высшая школа экономики открывают факультет Computer Science,Zalina,+84,23407,99,0
post_217693,Детектор троллинга: как мы повышали продуктивность с помощью речевого анализатора,TeamMRG,+81,32716,40,0
post_217719,Управленческие инструменты: Формула нужды или Каким образом нас отжимают?,eagleson,+77,35631,366,0
post_217665,Национальная платёжная система и ширина лошадиной задницы,faxenoff,+75,44278,117,0
post_217453,Новый дизайн процессоров Intel — сделано в России!,vikky13,+71,60856,26,0
post_217617,Тестирование «быстрой MongoDB» – TokuMX в условиях comma  близких к реальности,umputun,+71,11404,55,0
post_214561,Как мы продали первый тираж книги 5000 экз. за два месяца,Bredun,+69,21097,53,0
post_217739,Традиционный пост к Первому апреля,xandr0s,+68,78476,97,0
post_217557,Математикам доверяй comma  но проверяй,Andrey2008,+68,30776,68,0
post_217959,Загадочная игра от IBM,olestu,+67,48694,39,0
post_217735,SSD: подвиды и перспективы,ETegro_Technologies,+67,48960,150,0
post_217601,Sono: активная система шумоподавления для окон,ilya42,+67,28835,73,0
post_217525,Сравнительное тестирование SDHC карт памяти стандарта UHS-I объемом 32 ГБ,Samendk,+63,27309,196,0
post_218013,Что можно сделать с ITEAD IBOX. Часть 1,djmorgan,+57,26756,45,0
post_217873,Легко ли человеку с инвалидностью найти работу в IT,djika,+56,20707,37,0
post_217637,Сертификация товаров в РФ или 9 кругов ада,MaxVed,+56,26867,94,0
post_217819,Разминка для шеи в терминале,hardex,+55,20767,39,0
post_216437,Автономный квадрокоптер с нуля: PID и грабли,alexac,+52,23463,255,0
post_218023,Кометный посадочный модуль «Фила» успешно проснулся на борту зонда «Розетта»,marks,+52,13720,20,0
post_217787,Обзор новой линейки коммутаторов Cisco Fatalyst,asch,+52,22858,25,0
post_216697,Лёгкий способ писать iOS приложения на вебе,mobilz,+52,30442,562,0
post_217501,Несколько интересностей и полезностей для веб-разработчика #14,ilusha_sergeevich,+52,16897,352,0
post_217925,[видео] 8 способов противостояния формуле нужды,eagleson,+51,19476,294,0
post_217349,Следующее поколение процессоров Intel будет предлагаться как услуга,saul,+51,57870,28,0
post_217611,Remote по-русски. Новая книга от 37signals,HotWaterMusic,+51,16888,202,0
post_217891,Соединяем эллиптический тренажер и pygame,Velese,+50,13085,52,0
post_217839,Поиск в пространстве состояний,ABBYYTeam,+49,6585,90,0
post_217765,Панель управления умным домом. iPhone в стене,aivs,+47,16801,290,0
post_217575,Demonoid снова с нами,siomi,+47,29072,46,0
post_217647,while(true){ Apple подала новый иск к Samsung на $2 млрд },Yurevich1,+46,28422,12,0
post_218059,Интервью с Джеффри Рихтером на конференции Microsoft SWIT 2014,bohdannanovskyi,+44,8157,24,0
post_217865,Производственный юмор: запросы от пользователей Acronis True Image,gaidar,+44,39140,14,0
post_217615,Лекториум запускает направление MOOC,yasha_somov,+44,6142,94,0
post_217215,«Что такое доказательство?»: взгляд из теоретической информатики,dmitrits,+43,9113,158,0
post_217979,Google теперь позволяет настроить панель сервисов,PavelPV,+42,12827,25,0
post_217503,Интересно и познавательно: управляемая посадка на ПТК НП,lozga,+42,9232,86,1
post_217827,Павел Дуров покинул пост генерального директора Вконтакте. Нет comma  это не шутка,Bakuutin,+41,39139,14,0
post_217203,Properties framework для Qt,lexxmark,+41,5790,119,0
post_217409,ХабраFAQ про поиск работы в интернете,djika,+41,17687,109,0
post_217785,Возвращение героя: Nokia 3310,ivansychev,+40,69155,41,0
post_217727,Starshade — поиск обитаемых планет,FilegiverCom,+38,15780,42,0
post_217691,Шаринг кода между платформами WP7 comma  WP8 comma  Win8. Основы,Atreides07,+37,5296,71,0
post_217595,Аннотации в Java comma  часть I,IvanGolovach,+37,10237,276,0
post_217801,YAWNDB — time series база данных,p_a,+36,5363,48,0
post_217675,Обзор паяльной станции BAKU 898D,lionsitroen,+36,20189,125,0
post_217631,Python-digest #20. Новости comma  интересные проекты comma  статьи и интервью [23 марта 2014 — 30 марта 2014],alrusdi,+35,5549,79,0
post_217731,Массовый релиз продуктов .NET,beenom,+34,11389,27,0
post_217715,Порталы нежити в Android,d1g1,+34,18725,95,0
post_217751,Яндекс почистил DNS view для AAAA-записей,ivlad,+34,9382,13,0
post_217437,Свой http-сервер менее чем в 40 строк кода на libevent и C++11,NYM,+34,17946,196,1
post_217661,Технологии научной фантастики: варп (Звёздный путь),Verglii,+33,29350,100,0
post_217883,hlpme.ru — сервис безвозмездных услуг,karaboz,+32,14085,61,0
post_217803,Людям нужна не дрель comma  а картина на стене,ArtyV,+32,18309,114,0
