name,result,place,country,category
Киселёв Степан,2:15:22,1,Россия,М31
Трошкин Алексей,2:16:01,2,Россия,М32
Аплачкин Артем,2:19:54,3,Россия,М27
Попов Сергей,2:20:16,4,Россия,М29
Сафронов Дмитрий,2:21:07,5,Россия,М36
Кульков Михаил,2:21:53,6,Россия,М33
Угаров Виктор,2:23:21,7,Россия,М31
Григорьев Олег,2:24:30,8,Россия,М30
Ширшов Алексей,2:24:50,9,Россия,М26
Андреев Григорий,2:25:38,10,Россия,М42
Ядгаров Искандер,2:26:40,11,Россия,М27
Смирнов Андрей,2:26:48,12,Россия,М32
Звягинцев Михаил,2:27:32,13,Россия,М25
Кротович Александр,2:27:36,14,Россия,М28
Клинов Андрей,2:27:36,15,Россия,М43
Li Yipeng,2:27:53,16,КНР,М38
Кораблев Денис,2:28:10,17,Россия,М34
Трофимова Сардана,2:28:31,18,Россия,Ж30
Кашапов Ренат,2:28:32,19,Россия,М35
Шилкин Дмитрий,2:29:12,20,Россия,М36
Хорошилов Руслан,2:29:42,21,Россия,М26
Матвеев Алексей,2:30:47,22,Россия,М34
Чужинов Владислав,2:31:20,23,Россия,М22
Fedorov Pavel,2:31:24,24,Россия,М33
Студенников Андрей,2:31:28,25,Россия,М26
Чехонин Александр,2:33:23,26,Россия,М27
Диденко Петр,2:34:30,27,Россия,М31
Архипова Татьяна,2:35:08,28,Россия,Ж35
Овчинников Владимир,2:36:26,29,Россия,М32
Максименко Вадим,2:37:01,30,Россия,М31
Тимофеев Михаил,2:37:14,31,Россия,М27
Листов Сергей,2:37:24,32,Россия,М24
Язев Николай,2:37:27,33,Россия,М33
Осокина Мария,2:37:31,34,Россия,Ж24
Чистоступов Роман,2:37:46,35,Россия,М31
Егоров Дмитрий,2:37:58,36,Россия,М26
Леминский Василий,2:38:23,38,Россия,М21
Бут Надежда,2:38:53,39,Россия,Ж33
Шерстюк Роман,2:39:03,40,Россия,М32
Жохов Никита,2:39:37,41,Россия,М35
Янюшкин Дмитрий,2:39:41,42,Россия,М27
Долженко Иван,2:40:05,43,Россия,М20
Кондрашов Андрей,2:40:06,44,Россия,М29
Лойко Андрей,2:40:07,45,Россия,М30
Головин Антон,2:40:26,46,Россия,М32
Ромодин Алексей,2:40:28,47,Россия,М30
Сабиров Григорий,2:41:03,48,Россия,М34
Каланова Александра,2:41:58,49,Россия,Ж27
Герулайтис Кастис,2:42:01,50,Россия,М46
Тихонова Наталья,2:42:02,51,Россия,Ж30
Колонда Александр,2:42:04,52,Казахстан,М31
Шишов Константин,2:42:29,53,Россия,М31
Петручик Александр,2:42:37,54,Россия,М33
Веселкина Ольга,2:42:48,55,Россия,Ж30
Соболев Евгений,2:43:00,56,Россия,М26
Лутошкин Артем,2:43:28,57,Россия,М38
Четвериков Анатолий,2:43:48,58,Россия,М28
Пшеничников Игорь,2:43:53,59,Россия,М26
Трубникова Вера,2:43:57,60,Россия,Ж31
Glazunov Vladimir,2:44:01,61,Россия,М37
Яковчук Игорь,2:44:01,62,Украина,М32
Смирнов Александр,2:44:01,63,Россия,М28
Nikonov Yury,2:44:02,64,Россия,М39
Гуськов Федор,2:44:10,65,Россия,М29
Lee Jong_Hyun,2:44:13,66,РеспубликаКорея,М26
Шерстнев Михаил,2:44:30,67,Россия,М33
Plyatsidevsky Andrey,2:44:39,68,Россия,М32
Максаков Михаил,2:44:49,69,Россия,М32
Френклах Яков,2:45:05,70,Россия,М31
Филиппов Алексей,2:45:21,71,Россия,М42
Буравов Александр,2:45:34,72,Россия,М49
Абрагимов Сергей,2:45:38,73,Россия,М35
Егоров Дмитрий,2:45:53,74,Россия,М42
Себрин Андрей,2:46:14,75,Россия,М32
Базаров Алексей,2:46:17,76,Россия,М29
Иванов Олег,2:46:32,77,Россия,М36
Афанасова Александра,2:46:38,78,Россия,Ж21
Nikonov Andrey,2:46:38,79,Россия,М46
Степанов Максим,2:46:39,80,Россия,М29
Зарина Нина,2:46:46,81,Россия,Ж31
Садыков Артур,2:47:04,82,Россия,М33
Руда Александр,2:47:08,83,Россия,М37
Бондарь Дмитрий,2:47:12,84,Россия,М30
Руженцев Илья,2:47:19,85,Россия,М25
Цветков Алексей,2:47:30,86,Россия,М35
Огаркин Томми,2:47:37,87,Россия,М29
Логвинов Кирилл,2:47:38,88,Россия,М36
