user,karma,rating,publications,comments,favourites,followers
0000168,1.0,0.0,11,68,3,2
004helix,4.0,0.0,1,8,0,2
009b,0.0,0.0,0,43,40,4
029ah,1.0,0.0,0,11,17,5
03uk,14.0,0.0,4,29,157,11
069056,9.0,0.0,1,30,5,5
074909,0.0,0.0,0,75,342,0
0Lexx0,0.0,0.0,0,115,42,2
0Net,0.0,0.0,0,8,48,1
0dd_b1t,29.0,0.0,1,61,68,5
0decca,59.0,0.0,2,111,116,19
0dmin,19.0,0.0,4,23,15,6
0leGG,46.1,0.0,6,325,44,24
0lorin,23.2,0.0,1,19,1,1
0lympian,0.0,0.0,0,378,201,5
0n1y_0ne,1.0,0.0,1,260,109,8
0range,4.0,0.0,2,35,0,7
0re1,0.0,0.0,0,69,8,2
0serg,57.0,0.1,1,375,1,19
0tt0max,7.0,0.0,1,6,24,0
0x0FFF,34.0,0.1,4,63,5,11
0x13,4.0,0.0,1,79,0,1
0x18h,0.0,0.0,0,16,1,0
0x25,0.0,0.0,0,9,0,0
0x3f00,3.0,0.1,0,65,83,1
0x433,0.0,0.0,0,4,0,0
0x45455844,0.0,0.0,0,21,8,0
0x62ash,0.0,0.0,0,319,21,17
0x656b694d,2.0,0.0,1,51,1,3
0x90,0.0,0.0,0,1,0,0
0xE0,0.0,0.0,0,189,12,0
0xFE,4.0,0.0,2,36,16,0
0xSS,6.0,0.0,1,3,6,0
0xd34df00d,25.0,1.6,4,771,1,9
0xff80ff,12.0,0.0,1,4,59,3
0xy,134.0,0.0,12,132,132,31
100chuk,0.0,0.0,1,7,0,0
1010101001000100110100111,12.0,0.0,5,104,270,21
1099511627776,19.0,0.0,7,140,77,7
10s,9.0,0.0,0,7,71,1
1101_debian,20.7,0.0,5,369,76,15
11rus,0.0,0.0,0,24,111,0
123,0.0,0.0,0,91,10,0
123150,3.0,0.0,0,94,21,0
1337,35.5,0.0,5,98,93,7
13alex,0.0,0.0,0,78,68,5
13oz,7.0,0.0,1,225,51,3
14TBAP_Kos,99.0,0.0,3,94,128,9
14zy,0.0,0.0,0,40,80,9
1514m,0.0,0.0,0,175,11,1
15432,0.0,0.0,0,68,3,1
16433407,0.0,0.0,0,74,38,2
17th,4.0,0.0,1,2,3,1
1CheshireCat,13.0,0.0,1,4,0,7
1GRiZly1,0.0,0.0,0,4,28,1
1Padre,1.0,0.0,2,9,0,3
1_admin_1,0.0,0.0,0,29,3,3
1acc,40.0,0.0,4,80,0,6
1af75,0.0,0.0,0,4,0,0
1cloud,6.0,93.6,93,65,56,18
1dash,0.0,0.0,0,18,77,1
1div0,22.0,0.0,3,9,2,3
1eon,26.0,0.0,1,114,261,7
1eqinfinity,44.0,0.0,17,357,104,14
1it,9.0,0.0,8,82,36,5
1kvi1,46.0,0.0,2,50,40,59
1nd1go,71.7,0.0,7,584,179,3
1ney,33.3,0.0,1,58,151,12
1nt3g3r,13.0,0.0,6,34,15,21
1ntr0,8.0,0.0,2,5,0,2
1obotomy,2.0,0.0,1,28,31,0
1tone,12.0,0.0,1,11,185,0
1vanK,11.0,0.2,3,32,1,6
1vertus1,9.0,0.3,1,44,75,0
1x1,0.0,0.0,0,126,58,1
200ton,0.0,0.0,0,4,101,0
23d,0.0,0.0,0,3,9,0
23derevo,54.2,50.0,67,678,157,90
23rd,7.0,0.1,3,337,115,11
246,3.0,0.0,0,3,0,1
2501,0.0,0.0,0,54,1,2
2745,0.0,0.0,0,8,0,1
2ANikulin,14.0,0.0,4,33,24,6
2ball,2.2,0.0,1,102,120,1
2c9,0.0,0.0,0,6,66,0
2cun,10.0,0.0,1,6,37,0
2d0x,0.0,0.0,0,6,8,0
2fidel,1.0,0.0,0,35,62,0
2r2w,6.0,0.0,2,46,68,1
2sexy2lazy,0.0,0.0,0,17,95,1
2tl,9.0,0.0,1,18,288,3
2xMax,0.0,0.0,0,41,87,0
30PP0,21.0,0.0,5,22,74,18
31z4,6.0,0.0,0,10,3,2
32bit_me,79.0,0.0,1,130,130,19
3GinGer,3.0,0.0,1,5,37,4
3StYleR,0.0,0.0,0,13,76,0
