name, rating, karma, post_score, comment_score
0mm,0.0,0.0,0,0
0zon,5.4,54.0,0,0
127,2.3,22.95,0,0
1514m,0.02,0.0,0,0
1acc,3.7,37.0,0,0
2fidel,0.1,1.0,0,0
4eshirsky,0.0,0.0,0,0
701054,0.7,7.0,0,0
8bitjoey,2.63,26.25,0,0
a1exDi,0.0,0.0,0,0
A1F0x,0.0,0.0,0,0
AAbrosov,0.0,0.0,0,0
abaddon65,1.6,16.0,0,0
abby,1.4,14.0,0,0
abeshkov,0.0,0.0,0,0
AbramovKS,0.7,7.0,0,0
acidron,3.5,35.0,0,0
Actor,0.7,7.0,0,0
acy,0.5,5.0,0,0
ad3w,3.25,32.5,0,0
AdaStreamer,1.0,10.0,0,0
Adiost,8.23,82.25,0,0
adminimus,0.8,8.0,0,0
AdrenaLeen,0.5,5.0,0,0
aduchi,0.0,0.0,0,0
advirtus,0.0,0.0,0,0
AEinsam,0.0,0.0,0,0
afan,27.75,277.46,0,0
AfMarina,0.3,3.0,0,0
agagey,0.0,0.0,0,0
Agb,0.1,1.0,0,0
agent0,2.93,29.25,0,0
agentapple,0.0,0.0,0,0
AgentSIB,1.21,12.0,0,0
aik,6.9,69.0,0,0
Ajel,0.0,0.0,0,0
akakievich,0.0,0.0,0,0
akostrov,0.0,0.0,0,0
akrot,80.21,25.0,91,13
akuzmin,3.1,31.0,0,0
Alagos,0.0,0.0,0,0
alamantrah,-0.9,-9.0,0,0
Alaren_Smith,0.8,8.0,0,0
alarus,0.0,0.0,0,0
albu,0.7,7.0,0,0
aleks1k,1.4,14.0,0,0
alekseenkoss,0.6,6.0,0,0
alekslitvinenk,0.0,0.0,0,0
Aleshin,0.1,1.0,0,0
alevgpopov,0.0,0.0,0,0
alevolk,0.8,8.0,0,0
alex0n,0.0,0.0,0,0
alex64,0.0,0.0,0,0
AlexanderCam,0.0,0.0,0,0
AlexanderLarin,0.3,3.0,0,0
AlexBaggins,0.0,0.0,0,0
AlexBash,0.0,0.0,0,0
alexbers,3.55,35.5,0,0
AlexChernyy,0.7,7.0,0,0
Alexei,0.0,0.0,0,0
alexeypa,0.0,0.0,0,0
Alexeyslav,1.66,13.0,0,36
AlexHa,0.44,3.0,0,14
alex_justes,1.1,11.0,0,0
alex_k84,0.0,0.0,0,0
alexkbs,7.95,79.5,0,0
AlexKR,0.0,0.0,0,0
AlexL,0.0,0.0,0,0
alexnikleo,0.7,7.0,0,0
alexovs,63.12,15.0,77,2
AlexP11223,0.4,0.0,0,40
AlexPrit,0.3,3.0,0,0
AlexQ,0.0,0.0,0,0
alexriz,0.8,8.0,0,0
alexrus,0.0,0.0,0,0
AlexSam,3.81,37.75,0,3
alexshelkov,1.44,14.41,0,0
AlexVS,0.21,2.12,0,0
alexzfort,132.77,215.5,139,2
Aliseborg,0.0,0.0,0,0
alkiselev,0.6,6.0,0,0
alkov,0.0,0.0,0,0
allexb,0.4,4.0,0,0
Alorian,0.0,0.0,0,0
ALPINE63rus,2.9,29.0,0,0
altdesign,0.0,0.0,0,0
altman,0.4,4.0,0,0
alxsz,0.0,0.0,0,0
amage,0.0,0.0,0,0
amartynov,47.97,47.5,54,2
amiku,0.0,0.0,0,0
Amka,1.29,12.9,0,0
amok,0.0,0.0,0,0
an0n1m0us,0.0,0.0,0,0
anarsoul,0.0,0.0,0,0
anatolie,0.0,0.0,0,0
andreishe,3.62,35.0,0,11
AndreiYemelianov,58.53,89.25,62,0
Andrey_Davidovich,0.0,0.0,0,0
AndreyDesyatov,0.9,9.0,0,0
andrey_grok,0.0,0.0,0,0
AndreyKu,3.6,36.0,0,0
andreymamontov,0.0,0.0,0,0
AndreyShelehin,1.83,18.25,0,0
Andrey_Sid,1.95,19.5,0,0
andronov,0.0,0.0,0,0
Andy_Day,1.6,16.0,0,0
anegrey,60.3,31.5,114,15
anfilat,0.8,8.0,0,0
angry_cat,0.0,0.0,0,0
ankane,0.5,5.0,0,0
AnnaZah,10.85,108.5,0,0
AnnSnark,0.2,2.0,0,0
ant0n,0.81,8.1,0,0
antaries,0.0,0.0,0,0
Antex,0.0,0.0,0,0
Antibug,0.01,0.0,0,1
Antigluk,13.07,129.75,0,9
antirek,22.92,44.75,23,4
antonby,1.0,10.0,0,0
Anton_Menshov,0.0,0.0,0,0
aprai,0.0,0.0,0,0
Aprel,0.0,0.0,0,0
aps,-18.59,-185.91,0,0
aquanet,1.6,16.0,0,0
arabesc,0.72,7.0,0,2
ArCH,0.0,0.0,0,0
archaron,0.0,0.0,0,0
Argons,0.0,0.0,0,0
arizona,0.7,7.0,0,0
aroh,0.0,0.0,0,0
arsebandit,0.0,0.0,0,0
Arseny_Info,7.01,70.05,0,0
Artbeiter,0.0,0.0,0,0
Artkumpel,0.4,4.0,0,0
artoodetoo,0.0,0.0,0,0
artty,2.13,21.25,0,0
asavin,3.1,31.0,0,0
asayko,1.1,11.0,0,0
asda,0.0,0.0,0,0
asgard88,1.3,13.0,0,0
ashby,3.0,30.0,0,0
ashchuk,0.3,3.0,0,0
Ashibaray,0.6,6.0,0,0
Ashot,1.78,17.75,0,0
askimer,0.0,0.0,0,0
asm0dey,0.42,2.0,0,22
asmerdev,0.0,0.0,0,0
ass026,0.3,3.0,0,0
asterisk,0.0,0.0,0,0
Astlee,0.0,0.0,0,0
Atos,0.0,0.0,0,0
aubergine,0.0,0.0,0,0
Auralien,1.6,16.0,0,0
aureliano_b,16.41,164.1,0,0
AusTiN,8.85,88.5,0,0
aveic,0.9,9.0,0,0
AveNat,57.1,195.0,47,0
avenu,9.21,92.13,0,0
avmartynov,1.5,15.0,0,0
awolf,5.78,57.75,0,0
azer,-0.89,-8.0,0,-9
azproduction,41.86,417.9,0,7
Azzrael,0.9,9.0,0,0
backendless,0.2,2.0,0,0
badlittleduck,8.72,87.2,0,0
Baf,0.0,0.0,0,0
Bagow,0.0,0.0,0,0
bak,4.85,48.5,0,0
Balaka,0.0,0.0,0,0
balkon_smoke,0.8,8.0,0,0
baltazar_bz,2.1,21.0,0,0
BanderasPRO,1.4,14.0,0,0
barabanus,57.73,30.75,68,25
barabashka,0.0,0.0,0,0
Barmunk,-0.2,-2.0,0,0
BarsMonster,92.05,920.5,0,0
Barxus,0.01,0.0,0,1
basp,2.0,20.0,0,0
Battletoads,0.0,0.0,0,0
bav,0.0,0.0,0,0
BaxZzZz,0.0,0.0,0,0
bazlan,0.0,0.0,0,0
BeDark,0.0,0.0,0,0
bedmitry,1.7,17.0,0,0
beenom,5.1,51.0,0,0
believe,0.0,0.0,0,0
BeloVit,0.0,0.0,0,0
benkaminski,0.6,6.0,0,0
Bernodot,2.84,28.42,0,0
bes_internal,0.0,0.0,0,0
bethrezen,0.0,0.0,0,0
bfDeveloper,10.58,106.0,0,-2
bi4o4ek,0.3,3.0,0,0
Bibberfell,0.0,0.0,0,0
Bigbad,1.4,14.0,0,0
